# 62663 RisoSurf
Str_Ablauf_23586 32564731.960 5778103.230 21403 0.010000    0.250  % 62.051 9999.990 -9937.940 %  MU14S510 1 480    14.764955    
Str_Ablauf_23587 32564726.340 5778103.380 21404 0.010000    0.250  % 62.080 9999.990 -9937.910 %  MU14S510 1 6018    23.766613    
Str_Ablauf_23588 32565142.590 5778042.140 21405 0.010000    0.250  % 72.697 9999.990 -9927.293 %  MU15S527 1 11287    24.810555    
Str_Ablauf_23589 32565116.000 5778053.000 21406 0.010000    0.250  % 71.912 9999.990 -9928.078 %  MU15S509 1 2977    29.762024    
Str_Ablauf_23590 32565189.210 5778007.270 21407 0.010000    0.250  % 74.171 9999.990 -9925.819 %  MU15S528 1 14002    28.086683    
Str_Ablauf_23591 32564730.890 5778149.580 21408 0.010000    0.250  % 62.216 9999.990 -9937.775 %  MU14S513 1 2813    23.986063    
Str_Ablauf_23592 32564725.190 5778149.620 21409 0.010000    0.250  % 62.244 9999.990 -9937.746 %  MU14S513 1 3842    24.080057    
Str_Ablauf_23600 32564733.980 5778214.330 21417 0.010000    0.250  % 62.387 9999.990 -9937.604 %  MU14N513 1 10498    29.522303    
Str_Ablauf_23601 32564734.620 5778235.790 21418 0.010000    0.250  % 62.746 9999.990 -9937.244 %  MU14N513 1 4791    19.761049    
Str_Ablauf_23603 32565220.360 5778029.040 21420 0.010000    0.250  % 76.197 9999.990 -9923.793 %  MU15S528 1 13245    27.702768    
Str_Ablauf_23604 32564734.880 5778260.010 21421 0.010000    0.250  % 62.601 9999.990 -9937.390 %  MU14N514 1 902    12.912446    
Str_Ablauf_23609 32564729.340 5778261.820 21426 0.010000    0.250  % 62.506 9999.990 -9937.484 %  MU14N514 1 2336    16.460711    
Str_Ablauf_23610 32564729.990 5778301.200 21427 0.010000    0.250  % 62.784 9999.990 -9937.206 %  MU14N515 1 7414    33.453999    
Str_Ablauf_23611 32564741.350 5778313.140 21428 0.010000    0.250  % 62.923 9999.990 -9937.067 %  MU14N511 1 8813    21.052549    
Str_Ablauf_23612 32564749.070 5778328.930 21429 0.010000    0.250  % 63.244 9999.990 -9936.746 %  MU14N511 1 4918    18.498417    
Str_Ablauf_23613 32564773.130 5778352.980 21430 0.010000    0.250  % 63.856 9999.990 -9936.135 %  MU14N520 1 9280    20.916758    
Str_Ablauf_23614 32564777.170 5778349.300 21431 0.010000    0.250  % 64.144 9999.990 -9935.846 %  MU14N520 1 11632    20.169727    
Str_Ablauf_23615 32564814.130 5778389.220 21432 0.010000    0.250  % 64.907 9999.990 -9935.083 %  MU14N527 1 10511    21.672804    
Str_Ablauf_23616 32564811.420 5778394.390 21433 0.010000    0.250  % 64.967 9999.990 -9935.023 %  MU14N527 1 5646    30.165575    
Str_Ablauf_23617 32564835.860 5778403.540 21434 0.010000    0.250  % 65.458 9999.990 -9934.532 %  MU14N529 1 9646    18.897324    
Str_Ablauf_23618 32564835.850 5778408.950 21435 0.010000    0.250  % 65.589 9999.990 -9934.401 %  MU14N529 1 11724    24.473547    
Str_Ablauf_23619 32564869.010 5778408.530 21436 0.010000    0.250  % 66.124 9999.990 -9933.866 %  MU14N534 1 7933    25.285242    
Str_Ablauf_23620 32564888.470 5778375.900 21437 0.010000    0.250  % 67.078 9999.990 -9932.913 %  MU14N537 1 9962    26.325022    
Str_Ablauf_23621 32564888.790 5778381.520 21438 0.010000    0.250  % 67.007 9999.990 -9932.983 %  MU14N537 1 12022    29.418636    
Str_Ablauf_23622 32564914.610 5778381.150 21439 0.010000    0.250  % 67.719 9999.990 -9932.271 %  MU14N540 1 5793    21.166573    
Str_Ablauf_23629 32565106.280 5778085.770 21446 0.010000    0.250  % 71.810 9999.990 -9928.180 %  MU15S508 1 9898    25.321491    
Str_Ablauf_23630 32565110.490 5778118.410 21447 0.010000    0.250  % 72.418 9999.990 -9927.572 %  MU15S507 1 6042    38.687706    
Str_Ablauf_23631 32565074.170 5778160.300 21448 0.010000    0.250  % 71.422 9999.990 -9928.568 %  MU15S503 1 2242    19.952784    
Str_Ablauf_23632 32565103.750 5778156.380 21449 0.010000    0.250  % 72.579 9999.990 -9927.411 %  MU15S502 1 10433    26.371258    
Str_Ablauf_23633 32565099.620 5778162.560 21450 0.010000    0.250  % 72.291 9999.990 -9927.699 %  MU15S502 1 7166    19.464907    
Str_Ablauf_23634 32565133.670 5778152.420 21451 0.010000    0.250  % 73.665 9999.990 -9926.325 %  MU15S501 1 6983    20.346487    
Str_Ablauf_23635 32565155.860 5778163.610 21452 0.010000    0.250  % 74.577 9999.990 -9925.413 %  MU15S501 1 1431    17.315405    
Str_Ablauf_23636 32565164.860 5778259.700 21453 0.010000    0.250  % 74.457 9999.990 -9925.533 %  MU15N502 1 14733    20.299654    
Str_Ablauf_23637 32565162.630 5778245.400 21454 0.010000    0.250  % 74.440 9999.990 -9925.551 %  MU15N502 1 9401    16.563723    
Str_Ablauf_23638 32565158.010 5778213.600 21455 0.010000    0.250  % 74.482 9999.990 -9925.508 %  MU15N501 1 11580    23.100351    
Str_Ablauf_23639 32565161.330 5778229.290 21456 0.010000    0.250  % 74.468 9999.990 -9925.522 %  MU15N502 1 7062    24.623030    
Str_Ablauf_23640 32565156.260 5778198.080 21457 0.010000    0.250  % 74.467 9999.990 -9925.523 %  MU15N501 1 9904    21.208702    
Str_Ablauf_23641 32565153.970 5778182.330 21458 0.010000    0.250  % 74.479 9999.990 -9925.512 %  MU15S501 1 10885    21.193993    
Str_Ablauf_23642 32565037.340 5778181.240 21459 0.010000    0.250  % 70.397 9999.990 -9929.593 %  MU15S504 1 11187    29.462124    
Str_Ablauf_23643 32565081.340 5778194.440 21460 0.010000    0.250  % 70.528 9999.990 -9929.462 %  MU15N505 1 14272    28.405970    
Str_Ablauf_23644 32565083.490 5778210.200 21461 0.010000    0.250  % 70.537 9999.990 -9929.453 %  MU15N505 1 2305    28.009651    
Str_Ablauf_23645 32565113.300 5778273.500 21462 0.010000    0.250  % 72.726 9999.990 -9927.264 %  MU15N503 1 9516    24.875713    
Str_Ablauf_23646 32565009.610 5778319.580 21463 0.010000    0.250  % 69.965 9999.990 -9930.025 %  MU14N505 1 9290    35.496746    
Str_Ablauf_23647 32565025.250 5778317.800 21464 0.010000    0.250  % 70.457 9999.990 -9929.534 %  MU15N508 1 10746    30.633579    
Str_Ablauf_23648 32565094.380 5778305.330 21465 0.010000    0.250  % 72.151 9999.990 -9927.839 %  MU15N504 1 6953    24.532183    
Str_Ablauf_23649 32565067.600 5778322.330 21466 0.010000    0.250  % 71.572 9999.990 -9928.418 %  MU15N508 1 9607    29.275204    
Str_Ablauf_23650 32565048.870 5778324.000 21467 0.010000    0.250  % 71.039 9999.990 -9928.951 %  MU15N508 1 11314    25.692745    
Str_Ablauf_23651 32565018.370 5778397.120 21468 0.010000    0.250  % 69.895 9999.990 -9930.095 %  MU15N542 1 10685    25.664963    
Str_Ablauf_23652 32565034.320 5778395.620 21469 0.010000    0.250  % 70.233 9999.990 -9929.757 %  MU15N542 1 11961    30.575851    
Str_Ablauf_23653 32565021.670 5778402.050 21470 0.010000    0.250  % 69.939 9999.990 -9930.051 %  MU15N542 1 11989    27.904566    
Str_Ablauf_23654 32565050.270 5778401.150 21471 0.010000    0.250  % 70.598 9999.990 -9929.392 %  MU15N542 1 12559    25.612352    
Str_Ablauf_23655 32565075.080 5778401.450 21472 0.010000    0.250  % 71.159 9999.990 -9928.831 %  MU15N543 1 13029    22.221094    
Str_Ablauf_23656 32565068.680 5778396.380 21473 0.010000    0.250  % 71.062 9999.990 -9928.929 %  MU15N542 1 7437    22.835020    
Str_Ablauf_23657 32565084.330 5778397.420 21474 0.010000    0.250  % 71.433 9999.990 -9928.557 %  MU15N543 1 12759    30.856915    
Str_Ablauf_23658 32565103.630 5778400.680 21475 0.010000    0.250  % 71.958 9999.990 -9928.032 %  MU15N543 1 10506    25.227188    
Str_Ablauf_23659 32565100.740 5778368.270 21476 0.010000    0.250  % 72.132 9999.990 -9927.858 %  MU15N544 1 1911    34.401558    
Str_Ablauf_23660 32565047.050 5778418.680 21477 0.010000    0.250  % 70.182 9999.990 -9929.808 %  MU15N542 1 13066    31.995394    
Str_Ablauf_23661 32565117.640 5778419.670 21478 0.010000    0.250  % 72.037 9999.990 -9927.953 %  MU15N543 1 11122    21.007380    
Str_Ablauf_41037 32564832.220 5778384.970 37931 0.010000    0.250  % 64.957 9999.990 -9935.034 %  MU14N527 1 1614    19.739065    
